time,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,aproveitamento
FLAMENGO/RJ,896,415,238,243,1343,1023,320,55.2
SAO PAULO/SP,884,412,235,237,1329,931,398,55.5
PALMEIRAS/SP,853,411,222,220,1343,939,404,56.9
CORINTHIANS/SP,899,390,269,240,1226,940,286,53.4
ATLETICO/MG,861,385,216,260,1303,1016,287,53.1
SANTOS/SP,845,376,211,258,1251,990,261,52.8
INTERNACIONAL/RS,808,375,212,221,1179,865,314,55.2
CRUZEIRO/MG,792,373,185,234,1208,893,315,54.9
FLUMINENSE/RJ,855,368,212,275,1221,1025,196,51.3
BOTAFOGO/RJ,809,336,216,257,1135,951,184,50.4
GREMIO/RS,776,324,207,245,1060,859,201,50.6
ATHLETICO/PR,790,324,183,283,1047,967,80,48.7
VASCO DA GAMA/RJ,769,285,226,258,1004,953,51,46.9
GOIAS/GO,692,274,175,243,969,884,85,48.0
FORTALEZA/CE,587,234,163,190,807,700,107,49.1
VITORIA/BA,623,232,166,225,854,802,52,46.1
BAHIA/BA,645,231,176,238,829,792,37,44.9
CORITIBA/PR,645,230,172,243,816,805,11,44.5
SPORT/PE,569,210,154,205,709,696,13,45.9
CEARA/CE,543,204,162,177,712,661,51,47.5
